property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Face-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
space_group,Fm_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,Número de grupo espacial: 225.,Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
lattice_constants,"392.42, 392.42, 392.42",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
thermal_conductivity,72,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
electrical_conductivity,9.4,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
electrical_resistivity,1.1e-07,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
magnetic_susceptibility_mass,1.22e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
magnetic_susceptibility_molar,2.38e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0002573,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
bulk_modulus,230,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Platinum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Pt-reference,elemento puro · condiciones de referencia,Face-centered Cubic,Fm_3m,392.42,392.42,392.42,π/2,π/2,π/2
